id	name	formula	charge	aliases
cpd00113	Isopentenyldiphosphate	C5H10O7P2	-2	
cpd02590	all-trans-Heptaprenyl diphosphate	C35H58O7P2	-2	
cpd02557	Farnesylfarnesylgeraniol	C40H66O7P2	-2	
cpd00012	PPi	H2O7P2	-2	
cpd00161	L-Threonine	C4H9NO3	0	
cpd00071	Acetaldehyde	C2H4O	0	
cpd00033	Glycine	C2H5NO2	0	
cpd15672	1-anteisoheptadecanoyl-sn-glycerol 3-phosphate	C20H40O7P	-1	
cpd11434	fa12coa	C38H65N7O17P3S	-3	
cpd15678	1,2-dianteisoheptadecanoyl-sn-glycerol 3-phosphate	C37H72O8P	-1	
cpd00010	CoA	C21H33N7O16P3S	-3	
cpd02152	L-Argininosuccinate	C10H17N4O6	-1	
cpd00106	Fumarate	C4H2O4	-2	
cpd00051	L-Arginine	C6H15N4O2	1	
cpd03671	D-Glucosamine1-phosphate	C6H14NO8P	0	
cpd00067	H+	H	1	
cpd02611	N-Acetyl-D-glucosamine1-phosphate	C8H15NO9P	-1	
cpd00022	Acetyl-CoA	C23H35N7O17P3S	-3	
cpd00650	Crotonyl-CoA	C25H37N7O17P3S	-3	
cpd00004	NADH	C21H27N7O14P2	-2	
cpd00003	NAD	C21H26N7O14P2	-1	
cpd00120	Butyryl-CoA	C25H39N7O17P3S	-3	
cpd00060	L-Methionine	C5H11NO2S	0	
cpd00001	H2O	H2O	0	
cpd00035	L-Alanine	C3H7NO2	0	
cpd11590	met-L-ala-L	C8H15N2O3S	-1	
cpd11582	ala-L-Thr-L	C7H14N2O4	0	
cpd00006	NADP	C21H26N7O17P3	-2	
cpd03187	Oxalosuccinate	C6H3O7	-3	
cpd00260	Isocitrate	C6H5O7	-3	
cpd00005	NADPH	C21H27N7O17P3	-3	
cpd00002	ATP	C10H13N5O13P3	-3	
cpd00009	Phosphate	HO4P	-2	
cpd00008	ADP	C10H13N5O10P2	-2	
cpd00156	L-Valine	C5H11NO2	0	
cpd00183	Sarcosine	C3H7NO2	0	
cpd00055	Formaldehyde	CH2O	0	
cpd00025	H2O2	H2O2	0	
cpd00007	O2	O2	0	
cpd01242	Thyminose	C5H10O4	0	
cpd08301	2-C-methyl-D-erythritol2-4-cyclodiphosphate	C5H10O9P2	-2	
cpd08288	2-phospho-4--cytidine5-diphospho-2-C-methyl-D-erythritol	C14H23N3O17P3	-3	
cpd00046	CMP	C9H13N3O8P	-1	
cpd00036	Succinate	C4H4O4	-2	
cpd15500	Menaquinone 8	C51H72O2	0	
cpd15499	Menaquinol 8	C51H74O2	0	
cpd02857	DAHP	C7H11O10P	-2	
cpd00699	5-Dehydroquinate	C7H9O6	-1	
cpd15752	Isopentadecanoyllipoteichoic acid (n=24), linked, unsubstituted	C117H228O135P24	-24	
cpd15761	Isopentadecanoyllipoteichoic acid (n=24), linked, glucose substituted	C261H468O255P24	-24	
cpd00014	UDP	C9H12N2O12P2	-2	
cpd00026	UDP-glucose	C15H22N2O17P2	-2	
cpd02187	Methacrylyl-CoA	C25H37N7O17P3S	-3	
cpd00481	Isobutyryl-CoA	C25H39N7O17P3S	-3	
cpd00130	L-Malate	C4H4O5	-2	
cpd00032	Oxaloacetate	C4H2O5	-2	
cpd00180	Oxalate	C2O4	-2	
cpd00040	Glyoxalate	C2HO3	-1	
cpd00346	L-Aspartate4-semialdehyde	C4H7NO3	0	
cpd00227	L-Homoserine	C4H9NO3	0	
cpd11558	10-methyl-3-oxo-undecanoyl-ACP	C23H41N2O9PRS	-1	
cpd11559	10-methyl-3-hydroxy-undecanoyl-ACP	C23H43N2O9PRS	-1	
cpd00121	L-Inositol	C6H12O6	0	
cpd00524	2-Inosose	C6H10O6	0	
cpd00658	Isochorismate	C10H8O6	-2	
cpd00216	Chorismate	C10H8O6	-2	
cpd02893	5'-Phosphoribosyl-4-carboxy-5-aminoimidazole	C9H13N3O9P	-1	
cpd02140	AIR	C8H14N3O7P	0	
cpd00242	H2CO3	CHO3	-1	
cpd00790	O-Acetyl-L-homoserine	C6H11NO4	0	
cpd00084	L-Cysteine	C3H7NO2S	0	
cpd00424	Cystathionine	C7H14N2O4S	0	
cpd00029	Acetate	C2H3O2	-1	
cpd11589	gly-asp-L	C6H9N2O5	-1	
cpd00041	L-Aspartate	C4H6NO4	-1	
cpd00023	L-Glutamate	C5H8NO4	-1	
cpd02431	1-Pyrroline-5-carboxylate	C5H6NO2	-1	
cpd00102	Glyceraldehyde3-phosphate	C3H6O6P	-1	
cpd00020	Pyruvate	C3H3O3	-1	
cpd08289	1-deoxy-D-xylulose5-phosphate	C5H10O7P	-1	
cpd00011	CO2	CO2	0	
cpd03052	Imidazole acetaldehyde	C5H6N2O	0	
cpd01831	4-Imidazoleacetate	C5H5N2O2	-1	
cpd11509	10-methyl-3-hydroxy-dodecanoyl-ACP	C24H45N2O9PRS	-1	
cpd11508	10-methyl-3-oxo-dodecanoyl-ACP	C24H43N2O9PRS	-1	
cpd00061	Phosphoenolpyruvate	C3H3O6P	-2	
cpd00482	2-Phospho-D-glycerate	C3H5O7P	-2	
cpd03572	(S)-3-Hydroxyisobutyryl-CoA	C25H39N7O18P3S	-3	
cpd03205	Phytoene	C40H64	0	
cpd02168	Prephytoene diphosphate	C40H66O7P2	-2	
cpd15682	1,2-diisohexadecanoyl-sn-glycerol 3-phosphate	C35H68O8P	-1	
cpd15688	CDP-1,2-diisohexadecanoylglycerol	C44H79N3O15P2	-2	
cpd00052	CTP	C9H13N3O14P3	-3	
cpd15683	CDP-1,2-diisoheptadecanoylglycerol	C46H83N3O15P2	-2	
cpd00080	Glycerol-3-phosphate	C3H8O6P	-1	
cpd15716	Diisoheptadecanoylphosphatidylglycerophosphate	C40H78O13P2	-2	
cpd15421	CDP-1,2-dioctadecanoylglycerol	C48H87N3O15P2	-2	
cpd15526	1,2-dioctadecanoyl-sn-glycerol 3-phosphate	C39H76O8P	-1	
